@relation InstanceResultListener

@attribute Key_Dataset {data_agent,data_keyboard,raw_data_agent,raw_data_keyboard}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.functions.LinearRegression,weka.classifiers.trees.M5P}
@attribute Key_Scheme_options {'-S 0 -R 1.0E-8 -num-decimal-places 4','-M 4.0 -num-decimal-places 4'}
@attribute Key_Scheme_version_ID {-3364580862046573747,-6118439039768244417}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute Correlation_coefficient numeric
@attribute Number_unclassified numeric
@attribute Percent_unclassified numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureNumRules numeric

@data
data_agent,3,6,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20260322.1817,10598,1178,0.59321,3.110465,79.905918,96.61434,0.257141,0,0,?,?,?,?,?,?,0.044,0.001,0.046875,0,46.875,0,7958,1920335,215315,?,?,?,?
data_agent,3,7,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20260322.1817,10599,1177,0.609289,3.121508,85.901796,97.791476,0.214742,0,0,?,?,?,?,?,?,0.047,0,0.046875,0,46.875,0,7950,1920516,215134,?,?,?,?
data_agent,3,8,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20260322.1817,10599,1177,0.759087,5.161322,84.529268,98.747223,0.158941,0,0,?,?,?,?,?,?,0.039,0.001,0.03125,0,31.25,0,7974,1920516,215134,?,?,?,?
data_agent,3,9,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20260322.1817,10599,1177,0.645312,4.202853,85.462955,98.342962,0.181223,0,0,?,?,?,?,?,?,0.043,0,0.046875,0,46.875,0,7974,1920516,215134,?,?,?,?
data_agent,3,10,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20260322.1817,10599,1177,0.669877,4.225445,86.2459,98.351044,0.178239,0,0,?,?,?,?,?,?,0.043,0,0.03125,0.015625,31.25,15.625,7974,1920516,215134,?,?,?,?
data_agent,4,1,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20260322.1817,10598,1178,0.681726,3.231128,84.985874,96.818484,0.248427,0,0,?,?,?,?,?,?,0.047,0,0.03125,0,31.25,0,7966,1920335,215315,?,?,?,?
data_agent,4,2,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20260322.1817,10598,1178,0.506019,1.013376,84.492128,82.301545,0.576029,0,0,?,?,?,?,?,?,0.04,0.001,0.03125,0.015625,31.25,15.625,7966,1920335,215315,?,?,?,?
data_agent,4,3,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20260322.1817,10598,1178,0.828454,5.900614,86.281536,98.99202,0.142812,0,0,?,?,?,?,?,?,0.05,0,0.0625,0,62.5,0,7950,1920335,215315,?,?,?,?
data_agent,4,4,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20260322.1817,10598,1178,0.73491,5.170092,82.254925,98.653981,0.162513,0,0,?,?,?,?,?,?,0.034,0.001,0.03125,0,31.25,0,7990,1920335,215315,?,?,?,?
data_agent,4,5,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20260322.1817,10598,1178,0.615037,3.169073,85.17111,97.682053,0.21954,0,0,?,?,?,?,?,?,0.045,0.001,0.046875,0,46.875,0,7950,1920335,215315,?,?,?,?
