@RELATION raw_data_agent

@ATTRIBUTE x_position NUMERIC
@ATTRIBUTE y_position NUMERIC
@ATTRIBUTE x_velocity NUMERIC
@ATTRIBUTE y_velocity NUMERIC
@ATTRIBUTE angle NUMERIC
@ATTRIBUTE angular_velocity NUMERIC
@ATTRIBUTE left_leg_contact NUMERIC
@ATTRIBUTE right_leg_contact NUMERIC
@ATTRIBUTE action {0,1,2,3}
@ATTRIBUTE next_reward NUMERIC

@DATA
-0.012583256,1.5294831,-0.04479107,0.120084606,-0.08706372,-0.04229866,0.0,0.0,0,-0.068754
-0.0130525585,1.5320907,-0.044791117,0.11576423,-0.089178644,-0.042298637,0.0,0.0,0,-0.061015
-0.013521766,1.5346011,-0.04479117,0.111443855,-0.09129357,-0.042298622,0.0,0.0,0,-0.053480
-0.01399107,1.5370144,-0.044791218,0.10712349,-0.0934085,-0.042298548,0.0,0.0,0,-0.046173
-0.014460373,1.5393305,-0.04479127,0.10280311,-0.09552342,-0.042298496,0.0,0.0,0,-0.039134
-0.0149295805,1.5415494,-0.044791326,0.098482735,-0.09763834,-0.04229849,0.0,0.0,0,-0.032380
-0.015398884,1.5436713,-0.04479138,0.09416236,-0.09975325,-0.04229846,0.0,0.0,0,-0.025988
-0.015868187,1.5456958,-0.044791438,0.089841984,-0.10186817,-0.04229847,0.0,0.0,0,-0.019995
-0.016337395,1.5476233,-0.044791497,0.08552161,-0.10398308,-0.04229845,0.0,0.0,1,-0.298619
-0.016868973,1.5494536,-0.052598167,0.081305385,-0.10453905,-0.011119508,0.0,0.0,0,0.130283
-0.017400552,1.5511867,-0.052598167,0.07698536,-0.105095044,-0.01111952,0.0,0.0,0,0.133617
-0.017932033,1.5528225,-0.052598167,0.072665334,-0.10565102,-0.011119546,0.0,0.0,0,0.136149
-0.018463612,1.5543611,-0.05259817,0.06834531,-0.106207006,-0.011119661,0.0,0.0,0,0.137784
-0.01899519,1.5558027,-0.05259818,0.064025275,-0.106763,-0.011119654,0.0,0.0,0,0.138405
-0.019526672,1.5571469,-0.052598186,0.059705254,-0.107319,-0.01111965,0.0,0.0,0,0.137853
-0.02005825,1.558394,-0.05259819,0.055385225,-0.10787498,-0.011119679,0.0,0.0,0,0.135932
-0.020589828,1.5595438,-0.052598197,0.0510652,-0.10843097,-0.011119644,0.0,0.0,0,0.132536
-0.021121407,1.5605965,-0.0525982,0.04674517,-0.108986944,-0.011119586,0.0,0.0,0,0.127395
-0.021652889,1.5615519,-0.05259821,0.042425144,-0.10954293,-0.011119551,0.0,0.0,0,0.120342
-0.022184467,1.5624102,-0.052598216,0.03810512,-0.11009891,-0.011119539,0.0,0.0,0,0.111192
-0.022716045,1.5631713,-0.05259822,0.03378509,-0.1106549,-0.0111195035,0.0,0.0,0,0.099741
-0.023247529,1.5638351,-0.052598227,0.029465063,-0.11121089,-0.011119487,0.0,0.0,0,0.085870
-0.023779105,1.5644019,-0.05259823,0.025145037,-0.11176687,-0.011119459,0.0,0.0,0,0.069539
-0.024310684,1.5648713,-0.052598238,0.020825012,-0.112322845,-0.011119442,0.0,0.0,0,0.050713
-0.024842167,1.5652436,-0.052598245,0.016504988,-0.11287882,-0.011119431,0.0,0.0,0,0.029629
-0.025373746,1.5655187,-0.05259825,0.012184962,-0.11343479,-0.011119403,0.0,0.0,0,0.006556
-0.025905322,1.5656967,-0.052598257,0.007864936,-0.11399077,-0.011119378,0.0,0.0,0,-0.018022
-0.0264369,1.5657775,-0.052598257,0.0035449106,-0.11454674,-0.011119352,0.0,0.0,0,-0.043499
-0.026968384,1.5657611,-0.05259826,-0.00077511533,-0.115102716,-0.0111193815,0.0,0.0,0,-0.069201
-0.027499963,1.5656474,-0.05259826,-0.005095141,-0.11565869,-0.011119356,0.0,0.0,0,-0.094441
-0.02803154,1.5654365,-0.052598268,-0.009415167,-0.11621468,-0.011119368,0.0,0.0,0,-0.118543
-0.028563023,1.5651284,-0.052598275,-0.013735193,-0.11677066,-0.011119379,0.0,0.0,0,-0.140938
-0.029094601,1.5647233,-0.05259828,-0.01805522,-0.11732663,-0.011119382,0.0,0.0,0,-0.161246
-0.029626083,1.5642208,-0.052598286,-0.022375245,-0.11788261,-0.011119405,0.0,0.0,0,-0.179176
-0.030157661,1.5636212,-0.05259829,-0.02669527,-0.11843858,-0.011119405,0.0,0.0,0,-0.194645
-0.03068924,1.5629244,-0.052598305,-0.031015294,-0.118994564,-0.011119409,0.0,0.0,0,-0.207625
-0.031220723,1.5621302,-0.05259831,-0.035335317,-0.11955055,-0.011119413,0.0,0.0,0,-0.218238
-0.0317523,1.561239,-0.05259831,-0.039655343,-0.120106526,-0.011119396,0.0,0.0,0,-0.226612
-0.03228388,1.5602505,-0.052598316,-0.043975372,-0.1206625,-0.0111193815,0.0,0.0,0,-0.232959
-0.03281536,1.559165,-0.05259832,-0.048295397,-0.12121848,-0.011119354,0.0,0.0,0,-0.237449
-0.03334694,1.5579821,-0.052598327,-0.052615423,-0.12177444,-0.011119373,0.0,0.0,0,-0.240329
-0.033878516,1.5567021,-0.052598335,-0.05693545,-0.12233043,-0.011119397,0.0,0.0,0,-0.241710
-0.03441,1.5553249,-0.05259834,-0.061255477,-0.122886404,-0.011119423,0.0,0.0,0,-0.241842
-0.034941576,1.5538504,-0.052598346,-0.0655755,-0.123442374,-0.011119461,0.0,0.0,0,-0.240840
-0.03547306,1.5522788,-0.052598346,-0.06989553,-0.123998344,-0.011119412,0.0,0.0,0,-0.238891
-0.03600464,1.5506101,-0.05259835,-0.07421555,-0.124554336,-0.011119425,0.0,0.0,0,-0.236040
