@RELATION lunar_lander_filter2

@ATTRIBUTE angle         NUMERIC
@ATTRIBUTE angular_vel   NUMERIC
@ATTRIBUTE left_leg      {0, 1}
@ATTRIBUTE right_leg     {0, 1}
@ATTRIBUTE action        {nothing, left_engine, main_engine, right_engine}

@DATA
0.1538,0.0415,0,0,nothing
0.1559,0.0415,0,0,nothing
0.1580,0.0415,0,0,nothing
0.1600,0.0415,0,0,nothing
0.1621,0.0415,0,0,nothing
0.1642,0.0415,0,0,nothing
0.1663,0.0415,0,0,nothing
0.1683,0.0415,0,0,nothing
0.1704,0.0415,0,0,nothing
0.1725,0.0415,0,0,nothing
0.1746,0.0415,0,0,nothing
0.1766,0.0415,0,0,nothing
0.1787,0.0415,0,0,nothing
0.1808,0.0415,0,0,nothing
0.1829,0.0415,0,0,nothing
0.1849,0.0415,0,0,nothing
0.1870,0.0415,0,0,nothing
0.1891,0.0415,0,0,nothing
0.1912,0.0415,0,0,nothing
0.1933,0.0415,0,0,nothing
0.1953,0.0415,0,0,nothing
0.1974,0.0415,0,0,nothing
0.1995,0.0415,0,0,nothing
0.2016,0.0415,0,0,nothing
0.2036,0.0415,0,0,nothing
0.2057,0.0415,0,0,nothing
0.2078,0.0415,0,0,nothing
0.2099,0.0415,0,0,nothing
0.2119,0.0415,0,0,nothing
0.2140,0.0415,0,0,nothing
0.2161,0.0415,0,0,nothing
0.2182,0.0415,0,0,nothing
0.2202,0.0415,0,0,nothing
0.2223,0.0415,0,0,nothing
0.2244,0.0415,0,0,nothing
0.2265,0.0415,0,0,nothing
0.2286,0.0415,0,0,nothing
0.2306,0.0415,0,0,nothing
0.2327,0.0415,0,0,nothing
0.2348,0.0415,0,0,nothing
0.2369,0.0415,0,0,nothing
0.2389,0.0415,0,0,nothing
0.2410,0.0415,0,0,nothing
0.2431,0.0415,0,0,nothing
0.2452,0.0415,0,0,nothing
0.2472,0.0415,0,0,nothing
0.2493,0.0415,0,0,nothing
0.2514,0.0415,0,0,nothing
0.2535,0.0415,0,0,nothing
0.2555,0.0415,0,0,nothing
0.2576,0.0415,0,0,nothing
0.2597,0.0415,0,0,nothing
0.2618,0.0415,0,0,nothing
0.2639,0.0415,0,0,nothing
0.2659,0.0415,0,0,nothing
0.2680,0.0415,0,0,nothing
0.2701,0.0415,0,0,nothing
0.2722,0.0415,0,0,nothing
0.2742,0.0415,0,0,nothing
0.2763,0.0415,0,0,nothing
0.2784,0.0415,0,0,nothing
0.2805,0.0415,0,0,nothing
0.2825,0.0415,0,0,nothing
0.2846,0.0415,0,0,nothing
0.2867,0.0415,0,0,nothing
0.2888,0.0415,0,0,nothing
0.2908,0.0415,0,0,nothing
0.2929,0.0415,0,0,nothing
0.2950,0.0415,0,0,nothing
0.2971,0.0415,0,0,nothing
0.2992,0.0415,0,0,nothing
0.3012,0.0415,0,0,nothing
0.3033,0.0415,0,0,nothing
0.3054,0.0415,0,0,nothing
0.3075,0.0415,0,0,nothing
0.3095,0.0415,0,0,nothing
0.3116,0.0415,0,0,nothing
0.3137,0.0415,0,0,nothing
0.3158,0.0415,0,0,nothing
0.3178,0.0415,0,0,nothing
