x_position,y_position,x_velocity,y_velocity,angle,angular_velocity,left_leg_contact,right_leg_contact,euclidean_distance,total_velocity,fast_descent,polar_angle_to_pad,abs_y_velocity,angle_x_angular_vel,x_pos_x_x_vel,y_pos_x_y_vel,low_alt_high_speed,action,next_reward
0.30206117,0.84184045,0.8140012,-0.19072127,-0.34513646,-0.18343237,0.0,0.0,0.894392,0.836046,0.000000,1.226294,0.19072127,0.0633092,0.24587816,-0.16055688,0.000000,0,-0.884544
0.31011382,0.8374997,0.8139976,-0.19504793,-0.354308,-0.18343127,0.0,0.0,0.893071,0.837040,0.000000,1.216165,0.19504793,0.06499117,0.2524319,-0.16335258,0.000000,0,-0.886839
0.31816664,0.83306265,0.81399393,-0.19937454,-0.36347952,-0.1834302,0.0,0.0,0.891753,0.838055,0.000000,1.205969,0.19937454,0.06667312,0.25898573,-0.16609149,0.000000,0,-0.889315
0.32621974,0.82852966,0.81399024,-0.20370117,-0.37265095,-0.18342915,0.0,0.0,0.890438,0.839091,0.000000,1.195704,0.20370117,0.068355046,0.26553968,-0.16877246,0.000000,1,0.417328
0.33418742,0.823942,0.80320233,-0.20558909,-0.3794757,-0.13649544,0.0,0.0,0.889135,0.829096,0.000000,1.185475,0.20558909,0.051796705,0.2684201,-0.16939348,0.000000,1,0.628261
0.34207115,0.8193001,0.7926036,-0.20743652,-0.38398302,-0.09014584,0.0,0.0,0.887843,0.819299,0.000000,1.175281,0.20743652,0.034614474,0.27112684,-0.16995277,0.000000,1,0.587885
0.34988824,0.8145975,0.78419894,-0.20968391,-0.38663647,-0.053068727,0.0,0.0,0.886561,0.811748,0.000000,1.165101,0.20968391,0.020518305,0.274382,-0.17080799,0.000000,1,0.660414
0.3576476,0.80984086,0.7768385,-0.21164863,-0.3875889,-0.019048465,0.0,0.0,0.885299,0.805154,0.000000,1.154927,0.21164863,0.0073829736,0.27783442,-0.17140171,0.000000,1,1.225024
0.36532393,0.8050427,0.7662712,-0.2128864,-0.38614178,0.028942008,0.0,0.0,0.884056,0.795294,0.000000,1.144791,0.2128864,-0.011175718,0.2799372,-0.17138264,0.000000,0,0.151965
0.37300014,0.8001473,0.76627105,-0.21720655,-0.38469464,0.028942008,0.0,0.0,0.882816,0.796461,0.000000,1.134582,0.21720655,-0.011133835,0.2858192,-0.17379723,0.000000,0,0.149335
0.38067645,0.7951547,0.766271,-0.22152673,-0.38324752,0.028942013,0.0,0.0,0.881581,0.797650,0.000000,1.124297,0.22152673,-0.011091955,0.29170132,-0.17614801,0.000000,1,1.168225
0.38828477,0.79009455,0.7577469,-0.2240671,-0.3799661,0.065628126,0.0,0.0,0.880349,0.790181,0.000000,1.114019,0.2240671,-0.024936464,0.29422158,-0.1770342,0.000000,1,1.328147
0.39582616,0.784965,0.7493585,-0.22672163,-0.3748916,0.10149012,0.0,0.0,0.879118,0.782905,0.000000,1.103747,0.22672163,-0.038047794,0.2966157,-0.17796853,0.000000,1,1.890845
0.40327692,0.77978355,0.73793876,-0.22843207,-0.36732817,0.15126841,0.0,0.0,0.877892,0.772486,0.000000,1.093511,0.22843207,-0.05556515,0.29759368,-0.17812757,0.000000,1,1.912418
0.4106539,0.77455586,0.7285172,-0.23001708,-0.35763243,0.19391511,0.0,0.0,0.876683,0.763967,0.000000,1.083297,0.23001708,-0.06935033,0.2991684,-0.17816108,0.000000,1,2.106285
0.41795808,0.76928145,0.7192019,-0.23166825,-0.34583586,0.23593096,0.0,0.0,0.875490,0.755594,0.000000,1.073104,0.23166825,-0.08159339,0.30059627,-0.17821808,0.000000,1,2.280455
0.42519063,0.7639548,0.7100455,-0.23363237,-0.3320122,0.27647308,0.0,0.0,0.874308,0.747495,0.000000,1.062927,0.23363237,-0.091792434,0.3019047,-0.17848457,0.000000,1,2.717712
0.43233508,0.75857794,0.69884115,-0.23547558,-0.31576213,0.32500133,0.0,0.0,0.873129,0.737447,0.000000,1.052782,0.23547558,-0.10262311,0.30213356,-0.17862658,0.000000,1,2.801774
0.43940163,0.753147,0.68887997,-0.23760872,-0.29735908,0.36806127,0.0,0.0,0.871954,0.728707,0.000000,1.042657,0.23760872,-0.10944636,0.30269498,-0.17895429,0.000000,1,2.755599
