x_position,y_position,x_velocity,y_velocity,angle,angular_velocity,left_leg,right_leg,action
0.24165125,0.2057557,-0.31127024,-0.21584438,-0.12387679,-0.0015101947,0.0,0.0,0
0.23853779,0.20080212,-0.31127024,-0.22016437,-0.123952314,-0.0015101956,0.0,0.0,0
0.23542432,0.19575134,-0.31127024,-0.22448438,-0.12402785,-0.0015102356,0.0,0.0,1
0.23222141,0.19062568,-0.32252425,-0.22762617,-0.121811844,0.044320136,0.0,0.0,0
0.2290185,0.18540281,-0.32252434,-0.23194662,-0.11959584,0.04432006,0.0,0.0,0
0.22581558,0.18008281,-0.32252443,-0.23626703,-0.117379844,0.044319965,0.0,0.0,0
0.22261257,0.17466575,-0.32252452,-0.24058744,-0.11516385,0.044319943,0.0,0.0,0
0.21940966,0.16915148,-0.3225246,-0.24490786,-0.11294786,0.044319894,0.0,0.0,0
0.21620674,0.16354015,-0.3225247,-0.24922827,-0.11073186,0.044320002,0.0,0.0,0
0.21300383,0.15783156,-0.3225248,-0.25354868,-0.108515866,0.04431998,0.0,0.0,0
0.20980091,0.1520259,-0.32252485,-0.2578691,-0.10629988,0.044319913,0.0,0.0,0
0.206598,0.14612304,-0.32252496,-0.2621895,-0.104083896,0.044319876,0.0,0.0,0
0.20339508,0.14012311,-0.322525,-0.26650992,-0.10186791,0.044319823,0.0,0.0,0
0.20019226,0.13402599,-0.32252505,-0.27083033,-0.0996519,0.044320278,0.0,0.0,0
0.19698934,0.1278318,-0.32252514,-0.27515072,-0.0974359,0.044320244,0.0,0.0,2
0.19401693,0.122269616,-0.30032498,-0.24701004,-0.094378665,0.06114463,0.0,0.0,2
0.19102278,0.117492996,-0.30214077,-0.21212465,-0.091677904,0.05401518,0.0,0.0,2
0.1879774,0.114076935,-0.30660647,-0.15169786,-0.089623995,0.04107795,0.0,0.0,0
0.18493204,0.110563815,-0.3066065,-0.1560182,-0.08757011,0.04107803,0.0,0.0,0
0.18188676,0.10695349,-0.3066066,-0.16033855,-0.0855162,0.04107806,0.0,0.0,0
0.1788414,0.10324603,-0.30660662,-0.16465889,-0.083462305,0.041078057,0.0,0.0,0
0.17579612,0.09944144,-0.3066067,-0.16897924,-0.08140841,0.041078027,0.0,0.0,0
0.17275076,0.09553972,-0.30660674,-0.17329961,-0.07935452,0.04107802,0.0,0.0,0
0.16970548,0.09154087,-0.30660677,-0.17761998,-0.07730061,0.041077994,0.0,0.0,0
0.16666012,0.08744489,-0.3066068,-0.18194035,-0.075246714,0.041077938,0.0,0.0,0
0.16361484,0.083251625,-0.30660686,-0.18626072,-0.07319281,0.04107792,0.0,0.0,2
0.1604968,0.07975581,-0.31336007,-0.15529646,-0.071653165,0.030793104,0.0,0.0,2
