# a0	a1	a2	a3
      3.6817	      0.0000	      0.0000	      0.0000
      1.9420	      0.0000	      0.0000	      0.0000
     21.1415	      0.0000	     -0.7328	      0.0000
     -0.2503	      0.0000	      0.0000	      0.0000
     -0.5553	     13.4899	      0.0000	      0.0000
     -0.3707	      0.0000	      0.0000	      0.0000
     -8.9404	     -7.5449	     -2.4988	     -8.5280
     -3.9410	     -3.5322	     -3.4558	      1.6684
     11.9556	      0.0000	      0.0000	      0.0000
     -0.0080	    -15.9180	      0.0000	      0.0000
     -0.2979	      0.8436	      4.1910	      0.4784
      9.9417	      0.0000	     -3.5765	     -3.2112
     14.5472	      0.0000	      0.0000	      0.0000
      1.6100	      0.0000	      0.0000	      0.0000
     -3.4519	      6.5687	      4.5411	      0.0000
     -0.2111	     -0.0800	      0.0000	      0.0000
     -0.1222	     -1.5539	      2.2643	      0.4905
     -1.2598	      0.0000	      0.0000	     -1.8000
     -5.6570	     -5.4067	     -7.5534	     -5.8782
     -7.0256	     -9.1182	     -4.7122	     -3.9398
     -0.1104	      0.0000	      0.0000	      0.0000
      4.5940	      0.0000	      0.0000	      0.0000
     -4.1871	     -6.0805	     -3.8047	     -2.9038
     -5.3162	     -4.3945	      0.0000	      0.0000
     -1.1128	     -2.6455	     -2.8874	     -0.9556
     -1.4038	      0.0000	      0.0000	      0.0000
    -15.7524	    -15.7709	    -14.4178	    -18.2357
      4.7136	      0.0000	      0.0000	      0.0000
     -7.0708	    -12.8654	     -5.9353	      0.3996
    -21.0296	     -0.5007	     -5.4097	      0.0000
     -0.4844	     -0.3559	     -0.0428	     19.1339
      7.1622	      0.0000	      0.0000	      0.0000
     -1.3356	      0.8841	      0.0000	      0.0000
     -1.7370	      0.0000	      0.0000	      0.0000
      1.5143	     -2.7785	      2.8829	     16.5065
      0.0000	      0.0000	      0.0000	     12.7632
     -0.5289	     -2.1163	     -3.7939	      2.8314
    -19.6094	     -0.6033	     -5.5672	      0.0000
    -10.1450	    -12.3880	     -8.2509	    -10.5356
      9.5654	      0.0000	     -1.8898	      0.0000
     -2.5097	     -4.1541	     -9.3130	    -17.8407
      5.3651	      0.0000	      0.0000	      0.0000
