# a0	a1	a2	a3
    -54.0662	    -24.0249	    -72.5029	    -52.2192
   -112.6736	    -44.0557	   -116.2648	   -113.8736
    -96.5443	    -58.4761	   -112.2595	   -100.5186
    -81.2720	    -54.1413	    -97.8414	    -85.4651
    -87.7455	    -14.5887	   -103.7705	    -82.3121
   -115.7684	    -48.0686	   -144.6132	   -126.9585
     -9.2965	     -1.5323	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	    -10.3700
      0.8435	      0.0000	      3.3500	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
     -3.8160	     -2.6059	      3.9980	      0.0000
     -4.3506	     -1.4212	      0.1344	      0.0000
     -2.6244	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
     -0.5731	     -0.8671	      0.0000	      0.0000
     -2.5288	    -10.0204	     -0.9174	     -1.2383
      0.6927	     -3.7293	      5.9330	     -0.8121
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      1.3649	      0.0000	      0.0000	      0.0000
     -8.9053	     -3.8722	     -9.3974	     -7.1824
     -1.2118	     -0.1435	     11.2021	      1.9329
     -1.3072	     -0.4536	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
    -19.2663	     -7.4221	     -7.5444	    -10.6184
     -8.9289	     -9.2914	     -2.3043	    -11.3838
    -10.1985	     -5.5805	     -4.9937	     -9.4124
     -6.3091	      2.8046	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
     -6.7023	      1.3672	      0.0000	      0.0000
     -0.3459	      0.0000	      0.0000	      0.0000
     -0.5875	     -0.9628	      4.3057	     -1.9680
     -0.7088	     -0.0096	     20.0617	      0.0000
     -2.7695	      4.7523	      0.0000	      0.0000
      2.0670	     10.8308	      0.0000	      0.0000
      0.7459	      0.0000	      4.2136	      0.0000
     -3.4932	     -0.6287	     -5.3539	     -4.1132
      0.0000	      1.2535	     31.2204	      3.5928
     -3.1038	     12.2365	      0.0000	      0.0000
      1.1934	     -2.3806	     23.6095	      0.0000
