# a0	a1	a2	a3
     -0.5284	      6.0493	      0.0000	      0.0000
      7.1429	      0.0000	      0.0000	      0.0000
      0.3963	      0.0000	      0.0324	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      6.1295	      0.0000	      0.0000	     -5.7949
      4.2509	      0.0000	      0.0000	     -3.1816
     -2.4878	     -5.7171	     35.9315	      0.0000
     -0.4075	    -12.7469	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
     -1.0552	      6.2800	      0.0000	      0.0000
     -1.7024	      7.1677	      0.0000	      0.0000
     -2.4630	     -4.8379	     18.3888	    -12.4978
     -7.1482	    -12.8876	    -28.4941	    -13.8290
      0.0000	      0.0000	      0.0000	      0.0000
     -2.2291	      0.0000	      0.0000	      0.0000
     -0.9606	     20.9150	      0.0000	      0.0000
     -0.2160	     29.0314	     -2.9812	     -7.6973
     -9.2586	     -2.3187	    -16.2995	    -12.1820
      0.0000	      0.0000	      0.0000	      0.0000
     -5.9066	     43.2488	      0.0000	      5.2857
     -4.2477	     -4.5057	     28.7734	     -4.1855
     -3.6505	     -3.3250	     26.5208	      0.0000
     -4.0493	     20.9596	      0.3760	    -14.0410
    -20.5742	     -1.7787	     -0.2765	     -0.7107
     -0.3824	      0.0000	      0.0000	      0.0000
     -1.6154	      4.9672	      0.0000	      0.0000
     -0.0332	      7.9638	      0.0000	      0.0000
      1.7031	      0.0000	      0.0000	      0.0000
    -22.9058	    -15.1950	    -22.1301	     -5.4860
    -18.5789	      3.3867	     -5.7226	     -1.7308
     -4.0593	     -4.3343	      0.7616	      0.0000
     -0.7319	     -0.3823	     -0.8516	      3.4493
     -1.3004	     -1.3294	      0.5821	      0.0000
    -29.6548	    -36.6421	    -28.7210	    -45.6645
     -1.8764	     10.9736	      4.3510	     -2.3814
     -4.0167	     -7.7838	     -7.1122	     -4.2322
     -5.7603	      7.1061	     -6.3313	     -4.0355
      4.0533	     -1.9344	     -0.1081	     -2.8756
    -36.4073	     -7.4120	    -30.5124	    -27.9502
      2.2268	      7.9296	      7.1273	      5.2341
     -1.2105	      5.7816	     -0.4150	      0.0000
     -8.8299	     -6.7938	     -5.1871	     -3.9295
     -0.4385	      6.4437	      0.0000	      0.0000
    -30.3758	     -5.3706	    -44.6167	    -53.1980
     -6.9117	      7.0508	    -18.8152	     -6.1814
